FILIPPO TAGLIOLINI 61,Via Filippo Tagliolini,empty,Torre Angela,Roma,Roma Capitale,Lazio,00133,41.8646957,12.6276295
"FONTANA DEL FINOCCHIO, 15",Via della Fontana del Finocchio,empty,Borghesiana,Roma,Roma Capitale,Lazio,00077,41.8573955,12.6878638
FOSSO DELL'OSA 442,Via del Fosso dell'Osa,empty,Lunghezza,Roma,Roma Capitale,Lazio,00132,41.8966856,12.6890404
"FOSSO DELL'OSA,285",Via del Fosso dell'Osa,empty,Lunghezza,Roma,Roma Capitale,Lazio,00132,41.8966856,12.6890404
"FOSSO SANTA MAURA,138",Via del Fosso di Santa Maura,138,Municipio Roma VI,Roma,Roma Capitale,Lazio,00133,41.8568998,12.6017977
FRANCESCO ROSASPINA 14,Via Francesco Rosaspina,empty,Torre Angela,Roma,Roma Capitale,Lazio,00133,41.8674281,12.6213912
"FRANCESCO ROSASPINA,14",Via Francesco Rosaspina,empty,Torre Angela,Roma,Roma Capitale,Lazio,00133,41.8674281,12.6213912
"FRATELLI POGGINI,49",Via Fratelli Poggini,49,Municipio Roma VI,Roma,Roma Capitale,Lazio,00133,41.8591388,12.6044801
"GIAN CRISTOFORO ROMANO ,55",Via Gian Cristoforo Romano,empty,Torrenova,Roma,Roma Capitale,Lazio,00133,41.8628848,12.6057632
"GIARRATANA,57",Via Giarratana,empty,Tor Bella Monaca,Roma,Roma Capitale,Lazio,00132,41.8689863,12.6545233
"GIOIOSA IONICA,46",Via Gioiosa Ionica,empty,Borghesiana,Roma,Roma Capitale,Lazio,00132,41.866881,12.6922867
GIOVANNI BATTISTA BASTIANELLI,Via Giovanni Battista Bastianelli,empty,Torre Angela,Roma,Roma Capitale,Lazio,00133,41.8658407,12.6350055
GIOVANNI BERNARDI 69,Via Giovanni Bernardi,empty,Torre Angela,Roma,Roma Capitale,Lazio,00133,41.8680534,12.6289232
"GRAVINA DI PUGLIA, 56",Via Gravina di Puglia,empty,Torre Gaia,Roma,Roma Capitale,Lazio,00133,41.8554044,12.6391643
GUIDO DONEGANI 208,Via Guido Donegani,empty,Lunghezza,Roma,Roma Capitale,Lazio,00132,41.9222486,12.6840686
Giovanni Battista Pitoni 43,Via Giovanni Battista Pitoni,empty,Torre Angela,Roma,Roma Capitale,Lazio,00133,41.8685194,12.6276845
IA SPINETOLI 55,Via Spinetoli,empty,San Vittorino,Roma,Roma Capitale,Lazio,00011,41.9139397,12.7282091
"IGNAZIO SCIMONELLI,284",Via Ignazio Scimonelli,empty,Torre Maura,Roma,Roma Capitale,Lazio,00173,41.8451902,12.5946346
L. FERRUCCIO MENGARONI 11,Largo Ferruccio Mengaroni,empty,Torre Angela,Roma,Roma Capitale,Lazio,00133,41.8690581,12.6401492
L.GO F. MENGARONI 11,Largo Ferruccio Mengaroni,empty,Torre Angela,Roma,Roma Capitale,Lazio,00133,41.8690581,12.6401492
L.GO F. MENGARONI 31 H,Largo Ferruccio Mengaroni,empty,Torre Angela,Roma,Roma Capitale,Lazio,00133,41.8690581,12.6401492
L.GO F. MENGARONI N. 31,Largo Ferruccio Mengaroni,empty,Torre Angela,Roma,Roma Capitale,Lazio,00133,41.8690581,12.6401492
"L.GO F. MENGARONI, 10",Largo Ferruccio Mengaroni,empty,Torre Angela,Roma,Roma Capitale,Lazio,00133,41.8690581,12.6401492
"L.GO F. MENGARONI, 11",Largo Ferruccio Mengaroni,empty,Torre Angela,Roma,Roma Capitale,Lazio,00133,41.8690581,12.6401492
"L.GO F. MENGARONI, 31/H",Largo Ferruccio Mengaroni,empty,Torre Angela,Roma,Roma Capitale,Lazio,00133,41.8690581,12.6401492
L.GO F.MENGARONI 10 T.1,Largo Ferruccio Mengaroni,empty,Torre Angela,Roma,Roma Capitale,Lazio,00133,41.8690581,12.6401492
"L.GO F.MENGARONI, 10",Largo Ferruccio Mengaroni,empty,Torre Angela,Roma,Roma Capitale,Lazio,00133,41.8690581,12.6401492
"L.GO F.MENGARONI, 11",Largo Ferruccio Mengaroni,empty,Torre Angela,Roma,Roma Capitale,Lazio,00133,41.8690581,12.6401492
"L.GO F.MENGARONI,10T1",Largo Ferruccio Mengaroni,empty,Torre Angela,Roma,Roma Capitale,Lazio,00133,41.8690581,12.6401492
L.GO FERRUCCIO MENGARONI,Largo Ferruccio Mengaroni,empty,Torre Angela,Roma,Roma Capitale,Lazio,00133,41.870129,12.639488
L.GO FERRUCCIO MENGARONI,Largo Ferruccio Mengaroni,empty,Torre Angela,Roma,Roma Capitale,Lazio,00133,41.870129,12.639488
L.GO FERRUCCIO MENGARONI 10,Largo Ferruccio Mengaroni,empty,Torre Angela,Roma,Roma Capitale,Lazio,00133,41.8690581,12.6401492
"L.GO FERRUCCIO MENGARONI, 10",Largo Ferruccio Mengaroni,empty,Torre Angela,Roma,Roma Capitale,Lazio,00133,41.8690581,12.6401492
"L.GO FERRUCCIO MENGARONI, 11",Largo Ferruccio Mengaroni,empty,Torre Angela,Roma,Roma Capitale,Lazio,00133,41.8690581,12.6401492
"L.GO FERRUCCIO MENGARONI, 31",Largo Ferruccio Mengaroni,empty,Torre Angela,Roma,Roma Capitale,Lazio,00133,41.8690581,12.6401492
"L.GO FERRUCCIO MENGARONI, 31 I",Largo Ferruccio Mengaroni,empty,Torre Angela,Roma,Roma Capitale,Lazio,00133,41.8690581,12.6401492
"L.GO FERRUCCIO MENGARONI,11",Largo Ferruccio Mengaroni,empty,Torre Angela,Roma,Roma Capitale,Lazio,00133,41.8690581,12.6401492
"L.GO MENGARONI, 10",Largo Ferruccio Mengaroni,empty,Torre Angela,Roma,Roma Capitale,Lazio,00133,41.8690581,12.6401492
